"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"banana.txt",3.6822,0.301,2405.5,135.439,0.176798837872244,164.3591,0,2405.5,1,0.7081,0.1722,0.194,0.1707,0.1729,0.7918,0.3567,314.9813,739.0069,869.8507,0.4575,0.209716739866216,0.207509671330266,0.21035131397915,0.36491370074825,0.192903294767717,0.194381144151337,0.217197465626276,0.19873867298065,0.211769093731379,0.211439576018536
"blobs.txt",2.4771,0.301,150,39.506,0.582471630180958,11.5396,1e-04,150,1,0.707,0.2037,0.1782,1.2234,0.1748,0.7864,1.8566,77.5599,272.131,54.6514,0.6037,1.34282527980161,1.00689331565527,1.32841169132615,1.94537493401689,1.34996453767233,1.34113524152122,1.41217847818013,1.36136260937427,1.36123393713546,1.33899257365222
"cassini.txt",3,0.301,500,0.5996,0.511427980100124,15.4705,0,500,1,0.5045,0.1849,0.1975,0.5352,0.1644,0.7855,1.6037,133.5847,1167.3932,171.061,0.5043,1.36837259083428,1.37136623402871,1.37020181088026,1.38514647698801,1.47252893098564,1.38483094164325,1.47715751177849,1.46781736336507,1.3763343309286,1.36844851263717
"chainlink.txt",3,0.4771,333.3333,325.1465,0.44434595168735,37.7233,0,333.3333,1,0.3405,0.1323,0.1286,1.6325,0.1709,0.7491,1.644,78.5233,4951.4204,181.3135,0.4982,0.682159238229186,0.605863831053002,0.695836705762593,1.4345099577417,0.684993151100824,0.707025202297595,0.767093631296687,0.65311240781217,0.694548456409252,0.69343190249376
"circle.txt",3,0.301,500,2.0342,0.496325395771667,10.0819,4e-04,500,1,0.5139,0.1822,0.1789,0.3253,0.1587,0.7887,1.0768,94.9525,373.8079,164.5265,0.5079,0.794317821814083,0.796339805364508,0.793053614891042,1.02470570924261,0.808431678700723,0.870334955258786,0.658671134150281,0.812794110292246,0.81958144266352,0.795012506417328
"complex8.txt",3.4067,0.301,1275.5,35.0253,0.366177630602698,39.0831,0.001,1275.5,1,0.5029,0.1736,0.1714,58.4098,0.1637,0.7978,262.0144,209.1684,191171717.7371,434.7039,0.6206,227.643694794006,228.795312937287,230.076981485414,217.390623500148,237.932433675351,249.041424296168,250.197402990125,249.379207055897,231.876977461351,228.206988326522
"complex9.txt",3.4816,0.301,1515.5,8.2816,0.315121718824439,54.7531,0,1515.5,1,0.5569,0.1805,0.1834,124.1058,0.1628,0.7992,282.888,246.5632,323041084.1919,513.5435,0.5637,240.159152496014,240.648097183821,216.516362111178,290.973462157081,209.765635611692,258.86691202586,211.675814677645,209.672283922846,246.115496134106,240.539078674181
"cuboids.txt",3.0009,0.4771,334,50.9041,0.522301450316695,28.9955,0,334,1,0.5828,0.1787,0.1817,0.5365,0.1734,0.7622,0.8165,46.8979,1094.681,183.766,0.5735,0.386103363692459,0.339746741708188,0.358477834181959,0.561813395032846,0.320473282953973,0.311472468809399,0.316767078436429,0.313617994411292,0.440927000280517,0.390022901280033
"cure-t0-2000n-2D.txt",3.301,0.301,1000,110.2344,0.411284276130302,41.4187,0,1000,1,0.5003,0.1767,0.1851,0.821,0.165,0.8251,0.9485,192.6829,1124.8601,344.6344,0.5308,0.643070592439484,0.859756818361878,0.831586439677761,0.817407297921409,0.763835235122575,0.817383814144943,0.661326384195164,0.818013861170192,0.641758556861167,0.638134658854293
"cure-t1-2000n-2D.txt",3.301,0.301,1000,28.8531,0.371142837060004,61.7744,0,1000,1,0.5139,0.1863,0.1817,0.931,0.169,0.7927,1.1129,298.8536,1284.0066,355.5078,0.4393,0.717249817692665,0.858440738996238,0.6934893394117,0.820791378822666,0.810852978546697,0.661780151368537,0.654450450006068,0.65985606759363,0.752336963360827,0.702430471369013
"cure-t2-4k.txt",3.6232,0.301,2100,44.7732,0.220450871205317,124.6738,0,2100,1,0.5366,0.1871,0.1829,0.409,0.169,0.7904,1.1168,4008.1152,6294.2087,745.5505,0.4779,0.722869281083191,0.810619482012598,0.798122169289026,1.0726825718755,0.727100642393805,0.805925380945856,0.717290751673914,0.804604202160847,0.760060657496182,0.735223267932754
"curves1.txt",3,0.301,500,0,0.401293335728399,85.1534,0,500,1,0.8183,0.2521,0.2517,0.2833,0.1652,0.7823,0.0978,636.1464,2.9067,174.5083,0.4069,0.0508904489177257,0.0938618400881558,0.0508904489177257,0.0512552474462146,0.0686837990599544,0.0737188461351799,0.0771208023213874,0.0602050429202234,0.0565574352726391,0.0508904489177257
"curves2.txt",3,0.301,500,0,0.375225513702642,75.3406,0,500,1,0.7013,0.1939,0.1658,0.0287,0.1587,0.7869,0.0637,361.9266,0.5973,166.1775,0.465,0.0343879161486656,0.0416056423647719,0.0347939045448102,0.0494705662216653,0.036219595356634,0.0340482517856081,0.0326813057676399,0.0331853329714799,0.0352246624901429,0.0342616220009802
"dartboard1.txt",3,0.301,500,0,0.544784483095259,1.8851,0,500,1,0.5,0.1672,0.1597,0.2031,0.1693,0.7769,0.3562,121.6935,125.2889,182.1011,0.4535,0.221542113268291,0.225734018435538,0.229303941815595,0.345288754671617,0.222077863465561,0.219614137175865,0.218699932039284,0.219937362156411,0.222291583046875,0.222895496086228
"dartboard2.txt",3,0.301,500,0,0.666602885013394,114.8482,0,500,1,0.5,0.2748,0.1281,0.3003,0.177,0.7932,0.1324,325.2904,25.376,203.6849,0.5347,0.111931943902231,0.10308368391992,0.109088030873656,0.155518407273421,0.100032410535674,0.100038630485732,0.100347946772383,0.099827104887745,0.115797471734284,0.110266333778397
"dense-disk-3000.txt",3.4771,0.301,1500,5.4833,0.482583703657422,8.7544,0.0046,1500,1,0.5092,0.1724,0.1682,2.2475,0.1677,0.7871,7.3618,168.8434,702826.6457,529.6885,0.5134,6.1423355603322,5.66081262145574,5.02880910537816,7.2571939728674,6.88871344800905,4.90908423936532,4.98042969107716,4.98716611955356,6.20474220109389,6.14414323972751
"dense-disk-5000.txt",3.699,0.301,2500,1.1182,0.397183324091502,15.4225,0.0034,2500,1,0.5013,0.1736,0.1701,1.8855,0.1662,0.7887,7.6288,205.7673,1841542.2404,873.8477,0.4972,6.32826338461845,6.84690572028604,5.20332676754935,7.46497319372989,6.72254572999802,6.39739763255358,6.36551565111465,5.12647677183282,6.32217839868596,6.31584882156711
"diamond9.txt",3.4771,0.301,1500,0.1111,0.319922915316188,57.2245,0,1500,1,0.502,0.1718,0.1846,0.4452,0.1769,0.813,3.194,203.1196,17315.3016,549.7979,0.5132,2.05754465368182,2.07814844114218,2.06727655347504,2.06105643038512,2.07797877512283,2.06696011000423,2.06649578185989,2.06624894145233,2.09687691306946,2.05987182179194
"disk-1000n.txt",3,0.301,500,3.7205,0.494361181184152,6.9667,0,500,1,0.5132,0.1795,0.1792,2.9628,0.1636,0.7876,9.1893,91.4885,49847.7684,170.7699,0.5439,6.34282906389255,5.54597054215892,6.1139643312324,8.69732008515208,7.57599132196107,5.62351423823862,5.47884607388965,6.10035240366017,6.53584111416344,6.38239191325853
"disk-3000n.txt",3.4771,0.301,1500,0.6581,0.410448606305793,8.4481,0,1500,1,0.5092,0.1751,0.1737,1.722,0.1651,0.7843,8.677,155.8635,589828.7242,524.6348,0.5548,5.7038688766834,7.06275368702504,5.82532603916918,8.35628275003308,7.44856396039811,7.13276319909725,7.07915906866064,5.7938352245806,5.85649127082029,5.7056602081287
"disk-4000n.txt",3.6021,0.301,2000,0.8935,0.245942705852032,42.4897,0,2000,1,0.5121,0.1855,0.1869,1.3678,0.1603,0.7892,9.8853,185.3336,587132.6647,664.0435,0.4868,6.67028952014883,7.2622581123056,6.83777077961239,9.23812476232716,6.36169238972803,6.95410354652945,6.94676048592541,6.8820523314762,7.10279718934442,6.73784668838155
"disk-4500n.txt",3.6532,0.301,2250,3.2997,0.286216914894448,23.0283,0,2250,1,0.5026,0.1794,0.1788,1.4851,0.1628,0.7873,9.2487,190.1438,1018667.2703,762.0527,0.553,7.3756925511985,6.1148356830041,6.16456207773703,8.75497185809283,6.64538983685749,7.62305396504555,7.42270486578047,6.12822276729079,7.47426503514409,7.38978924416187
"disk-4600n.txt",3.6628,0.301,2300,0.1167,0.145476839449864,92.6827,0,2300,1,0.5058,0.1982,0.1885,1.7379,0.1611,0.7885,10.4545,222.2016,680614.0479,769.933,0.5868,7.93462470449969,8.83232142471721,7.0521174159994,9.72693703630885,6.79755892940799,6.95335031017079,7.26860032634617,7.1181228299675,7.92321847937785,7.94372876021113
"disk-5000n.txt",3.699,0.301,2500,0.5092,0.187863653048633,53.5789,0,2500,1,0.5034,0.187,0.1864,1.2625,0.16,0.7885,9.9578,219.0181,996467.5779,832.9321,0.5418,7.7322279406108,7.22938968552595,6.70090336453781,9.29391091786542,7.35164932716921,6.92900199379902,6.90597003962882,6.85154683745477,7.74095864809525,7.72340015177901
"donut1.txt",3,0.301,500,0.4582,0.651383150709538,97.5922,0,500,1,0.5006,0.2623,0.1287,0.1218,0.1747,0.7951,0.0725,185.2383,6.3286,191.5619,0.5218,0.0559849392570646,0.0551345588465521,0.055943041976467,0.0830953166862762,0.0552082369007446,0.0531512189527435,0.0570445030092845,0.0553085470286475,0.0564245761774513,0.0588859856359657
"donut2.txt",3,0.301,500,2.0317,0.556151935708094,15.6566,0,500,1,0.5033,0.1829,0.1529,0.0187,0.1667,0.7866,0.0377,128.5549,0.8896,176.7927,0.4808,0.0282711893288474,0.0267878335410061,0.0277685129362679,0.0369524037325707,0.0234462710442624,0.0279685416353583,0.0288270105680421,0.027959692811573,0.0290486062118577,0.0283050442793468
"donut3.txt",2.9996,0.301,499.5,0.3444,0.655387727368577,68.6565,0,499.5,1,0.5023,0.2241,0.1725,0.0597,0.1847,0.7949,0.0734,171.1059,9.3936,213.8316,0.528,0.0552781058134307,0.0584844919307509,0.0561353484065742,0.0720752352999192,0.0522689910529762,0.0540083087265636,0.0542120723622145,0.0532515033952378,0.0572737545799404,0.0559320155032105
"donutcurves.txt",3,0.301,500,53.2226,0.544438890667833,54.9798,0,500,1,0.5095,0.181,0.2123,0.2084,0.175,0.7868,0.1329,423.8624,13.6004,185.9831,0.4438,0.12054331963291,0.120699200589031,0.120699200589031,0.118413884787042,0.120515027457085,0.118413884787042,0.121164952346514,0.119089482794316,0.121656577880432,0.120956307555026
